Job_name,last_update,job_salary,rate,currency,salary_info,Benefits
Morley Companies Senior User Experience/UI Designer Salaries,12/Mar/2020,"$70,405 - $76,696",/yr,(USD),"Senior User Experience/UI Designer salaries at Morley Companies can range from $70,405-$76,696. This estimate is based upon 1 Morley Companies Senior User Experience/UI Designer salary report(s) provided by employees or estimated based upon statistical methods. See all Senior User Experience/UI Designer salaries to learn how this stacks up in the market.","Health Insurance,Dental Insurance,401K Plan,Vacation & Paid Time Off,Sick Days,Paid Holidays"
National Geographic Senior User Experience/UI Designer Salaries,12/Mar/2020,"$101,705 - $110,827",/yr,(USD),"Senior User Experience/UI Designer salaries at National Geographic can range from $101,705-$110,827. This estimate is based upon 1 National Geographic Senior User Experience/UI Designer salary report(s) provided by employees or estimated based upon statistical methods. See all Senior User Experience/UI Designer salaries to learn how this stacks up in the market.",
Wolfspeed | Cree Senior User Experience/UI Designer Salaries,31/Mar/2020,"$122,834 - $131,624",/yr,(USD),"Senior User Experience/UI Designer salaries at Wolfspeed | Cree can range from $122,834-$131,624. This estimate is based upon 1 Wolfspeed | Cree Senior User Experience/UI Designer salary report(s) provided by employees or estimated based upon statistical methods. See all Senior User Experience/UI Designer salaries to learn how this stacks up in the market.","Health Insurance,Dental Insurance,Flexible Spending Account (FSA),Vision Insurance,Health Savings Account (HSA),Life Insurance,Disability Insurance,401K Plan,Employee Stock Purchase Plan,Performance Bonus,Maternity & Paternity Leave,Vacation & Paid Time Off,Sick Days,Paid Holidays,Employee Discount,Employee Assistance Program,Gym Membership,Company Social Events,Tuition Assistance"
Boston Consulting Group Senior User Experience/UI Designer Salaries,2/Apr/2020,"$103,270 - $112,108",/yr,(USD),"Senior User Experience/UI Designer salaries at Boston Consulting Group can range from $103,270-$112,108. This estimate is based upon 1 Boston Consulting Group Senior User Experience/UI Designer salary report(s) provided by employees or estimated based upon statistical methods. See all Senior User Experience/UI Designer salaries to learn how this stacks up in the market.",
Indigo Senior User Experience/UI Designer Salaries,12/Feb/2021,"$128,505 - $137,234",/yr,(USD),"Senior User Experience/UI Designer salaries at Indigo can range from $128,505-$137,234. This estimate is based upon 1 Indigo Senior User Experience/UI Designer salary report(s) provided by employees or estimated based upon statistical methods. See all Senior User Experience/UI Designer salaries to learn how this stacks up in the market.","Health Insurance,Dental Insurance,Life Insurance,401K Plan,Performance Bonus,Stock Options,Maternity & Paternity Leave,Work From Home,Vacation & Paid Time Off,Sick Days,Paid Holidays,Free Lunch or Snacks,Gym Membership"
Broadridge Senior User Experience/UI Designer Salaries,3/Feb/2021,"$163,056 - $175,114",/yr,(USD),"Senior User Experience/UI Designer salaries at Broadridge can range from $163,056-$175,114. This estimate is based upon 1 Broadridge Senior User Experience/UI Designer salary report(s) provided by employees or estimated based upon statistical methods. See all Senior User Experience/UI Designer salaries to learn how this stacks up in the market.","Health Insurance,Dental Insurance,Flexible Spending Account (FSA),Vision Insurance,Health Savings Account (HSA),Life Insurance,Disability Insurance,Accidental Death & Dismemberment Insurance,401K Plan,Retirement Plan,Performance Bonus,Stock Options,Maternity & Paternity Leave,Work From Home,Dependent Care,Childcare,Vacation & Paid Time Off,Sick Days,Paid Holidays,Volunteer Time Off,Employee Discount,Employee Assistance Program,Diversity Program,Job Training"
Thomas Senior User Experience/UI Designer Salaries,11/Aug/2020,"$97,860 - $105,570",/yr,(USD),"Senior User Experience/UI Designer salaries at Thomas can range from $97,860-$105,570. This estimate is based upon 1 Thomas Senior User Experience/UI Designer salary report(s) provided by employees or estimated based upon statistical methods. See all Senior User Experience/UI Designer salaries to learn how this stacks up in the market.","Health Insurance,Dental Insurance,Health Savings Account (HSA),Life Insurance,401K Plan,Vacation & Paid Time Off,Paid Holidays"
Dentsply Sirona Senior User Experience/UI Designer Salaries,27/Feb/2021,"$111,686 - $121,270",/yr,(USD),"Senior User Experience/UI Designer salaries at Dentsply Sirona can range from $111,686-$121,270. This estimate is based upon 1 Dentsply Sirona Senior User Experience/UI Designer salary report(s) provided by employees or estimated based upon statistical methods. See all Senior User Experience/UI Designer salaries to learn how this stacks up in the market.","Health Insurance,Dental Insurance,Flexible Spending Account (FSA),Vision Insurance,401K Plan,Retirement Plan,Vacation & Paid Time Off,Paid Holidays"
"Harley-Davidson, Inc. Senior User Experience/UI Designer Salaries",30/Dec/2020,"$77,867 - $85,231",/yr,(USD),"Senior User Experience/UI Designer salaries at Harley-Davidson, Inc. can range from $77,867-$85,231. This estimate is based upon 1 Harley-Davidson, Inc. Senior User Experience/UI Designer salary report(s) provided by employees or estimated based upon statistical methods. See all Senior User Experience/UI Designer salaries to learn how this stacks up in the market.",
Georgia-Pacific Senior User Experience/UI Designer Salaries,7/Oct/2020,"$103,287 - $112,495",/yr,(USD),"Senior User Experience/UI Designer salaries at Georgia-Pacific can range from $103,287-$112,495. This estimate is based upon 1 Georgia-Pacific Senior User Experience/UI Designer salary report(s) provided by employees or estimated based upon statistical methods. See all Senior User Experience/UI Designer salaries to learn how this stacks up in the market.",
